x_ProjectCode,x_BH_ID,x_Motherhole,x_HoleType,x_MaxDepth,x_DepthFrom,x_DepthTo,x_Date,x_Cr2O3_%,x_FeO_%,x_SiO2_%,x_MgO_%,x_Al2O3_%,x_CaO_%,x_P_%,x_Au_ICP_ppm,x_Pt_ICP_ppm,x_Pd_ICP_ppm,x_Rh_ICP_ppm,x_Ir_ICP_ppm,x_Ru_ICP_ppm,y_Level1,y_Level2
J1103,SC06,SC06,borehole,639.35,619.33,619.36,23. Dez 08,34.96,19.29,17.09,16.79,10.21,0.89,0.0,0.01,0.53,0.16,0.14,0.09,0.32,LG,1
J1098,SC11,SC11,borehole,460.2,397.47,397.53,23. Feb 09,39.64,20.77,11.04,15.64,10.85,0.46,0.01,0.01,1.56,0.6,0.42,0.13,0.38,LG,2
J1492,MD16,MD16,borehole,278.8,151.53,151.69,17. Sep 13,46.28,20.81,5.9,12.95,11.82,0.8,0.0,0.01,0.04,0.02,0.1,0.04,0.26,LG,3
J1474,MD09,MD09,borehole,52.23,48.38,48.78,09. Nov 09,39.53,19.65,8.94,12.93,12.0,2.2,0.01,0.01,0.1,0.02,0.07,0.04,0.34,LG,4
J1097,SC63,SC63,borehole,333.75,330.35,330.59,23. Feb 09,43.11,23.51,4.67,11.21,13.59,0.43,0.0,0.01,0.55,0.19,0.21,0.08,0.47,LG,5
J1099,SC01,SC01,borehole,274.5,232.3,233.03,01. Jul 08,42.88,23.36,4.49,9.86,14.66,0.61,0.0,0.01,0.3,0.05,0.09,0.06,0.48,LG,6
J1098,SC02,SC02,borehole,280.7,237.75,238.32,01. Jul 08,44.59,24.65,2.73,9.61,14.35,0.38,0.0,0.01,0.31,0.04,0.11,0.05,0.4,LG,6
J1101,SC03,SC03,borehole,289.65,242.7,243.64,01. Jul 08,44.31,24.23,2.53,10.13,14.52,0.41,0.0,0.01,0.29,0.05,0.11,0.05,0.39,LG,6
J1114,SC04,SC04,borehole,523.0,244.64,245.51,01. Jul 08,45.04,24.91,1.84,9.64,14.42,0.32,0.0,0.01,0.33,0.04,0.13,0.05,0.49,LG,6
J1106,SC05,SC05,borehole,486.04,394.94,395.8,01. Jul 08,46.52,24.92,1.69,9.76,13.46,0.32,0.0,0.01,0.3,0.03,0.11,0.05,0.44,LG,6
J1114,SC06,SC06,borehole,639.35,413.91,414.86,01. Jul 08,43.05,23.56,5.14,10.27,14.0,0.6,0.0,0.01,0.28,0.04,0.08,0.04,0.34,LG,6
J1108,SC07,SC07,borehole,593.73,376.75,377.24,01. Jul 08,44.12,24.34,2.75,9.96,14.68,0.48,0.0,0.01,0.33,0.07,0.12,0.11,0.52,LG,6
J1111,SC08,SC08,borehole,645.05,422.49,423.36,01. Jul 08,44.81,24.1,2.99,9.75,14.3,0.47,0.0,0.01,0.35,0.07,0.1,0.09,0.4,LG,6
J1111,SC09,SC09,borehole,648.7,426.06,427.02,01. Jul 08,45.63,24.2,2.61,9.61,14.25,0.44,0.0,0.01,0.34,0.05,0.1,0.08,0.35,LG,6
J1110,SC10,SC10,borehole,463.5,238.38,239.3,01. Jul 08,45.32,24.68,2.0,9.66,14.26,0.36,0.0,0.01,0.33,0.05,0.11,0.07,0.27,LG,6
J1106,SC11,SC11,borehole,460.2,243.0,243.94,01. Jul 08,44.42,25.27,2.62,9.71,14.26,0.31,0.0,0.01,0.37,0.06,0.12,0.08,0.38,LG,6
J1113,SC12,SC12,borehole,628.5,402.48,403.5,01. Jul 08,43.79,25.94,3.06,9.53,13.8,0.47,0.0,0.01,0.38,0.06,0.11,0.08,0.53,LG,6
J1106,SC14,SC14,borehole,566.8,344.35,345.23,01. Jul 08,43.89,25.13,3.32,10.24,14.38,0.44,0.0,0.05,0.26,0.05,0.1,0.07,0.52,LG,6
J1108,SC15,SC15,borehole,560.65,338.65,339.56,01. Jul 08,43.87,23.95,3.16,10.1,14.44,0.41,0.0,0.01,0.32,0.06,0.12,0.09,0.51,LG,6
